.,Type,Vendor,Model,Serial number,CPU,Memory,GB,Grading,Comments,Repairs,Locked,Locked to,kan sælges på Refurbed,Keyboard,Battery,Battery threshold,Internal
1,Laptop,Dell,Latitude 5400,J666633,i7-8665U,16 GB DDR4,256 GB,C,"Normal W&T, Drop Damage (Palmrest), Whitespots on Screen, Broken Bezel, Missing Trackpoint",,No,,FALSE,US International,0.62,Below,January '26
1,Desktop,Dell,Optiplex 7070 Ultra,CPX3G33,i7-8665U,16 GB DDR4,256 GB,B,"Normal W&T, Disk 54%",,No,,FALSE,,,,January '26
1,Desktop,Dell,Optiplex 7070 Ultra,2N5B833,i7-8665U,16 GB DDR4,256 GB,B,"Normal W&T, Disk 58%, Noisy fan",,No,,FALSE,,,,January '26
1,Docking Station,Dell,WD19S,CQQ2LP3,N/A,N/A,N/A,C,"Normal W&T, Scratches",,,,FALSE,N/A,N/A,N/A,HUC
1,Docking Station,Lenovo,40A9,ZAF0FD2F,,,,B,Normal W&T,,,,TRUE,,,,El-Recycling
1,Desktop,Dell,OptiPlex Micro Plus 7010,4YTCYY3,i7-13700,16 GB DDR5,256 GB NVMe,B,Normal W&T,,MAR,,TRUE,,,,August '25
1,Docking Station,Lenovo,40A9,ZAF0C96X,,,,B,Normal W&T,,,,FALSE,,,,El-Recycling
1,Laptop,Apple,"MacBook Pro (18,1)",GWR9C077QW,Apple M1,16 GB DDR5,1000 GB NVMe,C,"Normal W&T, Marks on Screen",,No,,,Spanish,0.84,Above,January '26
1,Laptop,Apple,"MacBook Pro (18,1)",MFCFMXPG67,Apple M1,16 GB DDR5,500 GB NVMe,C,"Normal W&T, Dent (Top Cover), Small Marks on Screen",,No,,,English,0.85,Above,January '26
1,Laptop,Dell,Latitude 5410,JWH2893,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,,,,Nordic,0.62,Below,Oktober '2024
1,Laptop,Dell,Latitude 5410,DDNFP73,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,,,,German,82.00%,Above,Oktober '2024
1,Laptop,Dell,Latitude 5410,5C3J793,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",Sticky Keys,,,,Nordic,79.00%,Below,Oktober '2024
1,Laptop,Dell,Latitude 5430,73G2SQ3,i7-1265U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Marks on Screen, Broken Camera Glass",,No,,,English UK,72.00%,Below,January '26
1,Laptop,Dell,Latitude 5430,DGRRKR3,i7-1265U,16 GB DDR4,256 GB,D,"Normal W&T, Broken Screen (R), Worn Keyboard (R), Freezes in Certus (W)",,Yes,GBT,,English UK,N/A,N/A,January '26
